step,trade,activity,typical_predecessor,duration_driver,common_constraint
1,General,Mobilisation and temporary facilities,Contract award and notice to proceed,Size and duration of the project,"Site access and utility connection dates"
2,Survey,Control and benchmark establishment,Mobilisation,Site size and complexity,"Approval of the control plan"
3,Demolition,Selective demolition and disposal,Survey control,Floor area and structure type,"Hazardous material survey and abatement clearance"
4,Sitework,Clearing and grubbing,Survey control,Plan area and vegetation,"Erosion control permit conditions"
5,Sitework,Bulk excavation,Clearing and grubbing,Bank volume and haul distance,"Spoil disposal location and haul permits"
6,Shoring,Support of excavation,Partial bulk excavation,Depth and soil conditions,"Engineered design and adjacent property monitoring"
7,Concrete,Footings and pile caps,Bulk excavation and dewatering,Volume and number of pours,"Inspection of subgrade and reinforcement"
8,Concrete,Foundation walls,Footings,Wall area and forming system,"Cure time before backfill"
9,Waterproofing,Below-grade waterproofing,Foundation walls,Treatment area,"Surface preparation and weather window"
10,Sitework,Backfill and compaction,Waterproofing,Volume and lift thickness,"Compaction testing frequency"
11,Concrete,Slab on grade,Backfill and underslab services,Area and thickness,"Cure time and moisture testing before finishes"
12,Steel,Structural steel erection,Footings and embed plates,Erected tonnage,"Mill release and fabrication lead time"
13,Steel,Metal decking,Structural steel framing,Deck area,"Sequencing with concrete pours"
14,Concrete,Elevated slab pours,Metal decking and reinforcement,Pour size and cure cycle,"Formwork and reshoring cycles"
15,Envelope,Exterior framing and sheathing,Structural frame complete,Framed area,"Weather tightness before interior works"
16,Roofing,Roof membrane and flashing,Framing and curbs,Roof area and penetrations,"Crane access and roofing weather window"
17,Envelope,Windows storefront and curtain wall,Structural openings complete,Elevation area,"Fabrication lead time and glazing delivery"
18,Mechanical,Underground and in-slab rough-in,Structural frame or slab pour sequence,Pipe length and fixture count,"Coordination with concrete pour schedule"
19,Electrical,Underground and in-slab rough-in,Structural frame sequence,Conduit length and panel count,"Coordination with concrete pour schedule"
20,Mechanical,Overhead rough-in,Envelope weather tight,Duct weight and pipe length,"Ceiling space coordination and clash resolution"
21,Electrical,Overhead rough-in and cabling,Envelope weather tight,Cable length and device count,"Coordination with mechanical above ceilings"
22,Fire Protection,Sprinkler rough-in,Overhead coordination complete,Head count and pipe length,"Inspection before ceiling closure"
23,Insulation,Thermal and acoustic insulation,Rough-in inspections passed,Treated area,"Coordination with drywall board schedule"
24,Drywall,Gypsum board and finishing,Insulation and rough-in,Board area and level of finish,"Drying time between coats"
25,Ceilings,Suspended ceilings,Finishing complete in the zone,Ceiling area,"Above-ceiling inspection before grid install"
26,Finishes,Flooring and wall finishes,Ceilings and painting complete in the zone,Installed area,"Moisture and temperature conditions on site"
27,Conveying,Elevator installation and commissioning,Shaft complete and power available,Number of cars,"Commissioning lead time and inspection"
28,Specialties,Toilet accessories signage and lockers,Finishes complete,Door count and sign type,"Delivery lead time and fire rating approvals"
29,Testing,Commissioning and integrated systems testing,Mechanical and electrical complete,System count and complexity,"Witnessing by the design team and AHJ"
30,Closeout,Punch list and closeout documentation,Substantial completion,Punch item count,"Owner acceptance and final inspection sign-off"
