category,from_unit,to_unit,factor,applies_to,notes
Length,LF,SF,0,linear to area,"Not convertible without width; listed to prevent misuse"
Length,FT,M,0.3048,general,"Exact"
Length,M,FT,3.28084,general,"Reciprocal of above"
Length,MI,FT,5280,general,"Exact"
Area,SF,SY,0.111111,general,"Nine square feet per square yard"
Area,SY,SF,9,general,"Exact"
Area,SF,M2,0.092903,general,"Exact to six decimals"
Area,SQ,SF,100,roofing,"One roofing square equals 100 square feet"
Area,ACRE,SF,43560,sitwork,"Exact"
Volume,CF,CY,0.037037,general,"Twenty-seven cubic feet per cubic yard"
Volume,CY,CF,27,general,"Exact"
Volume,CY,M3,0.764555,general,"Exact to six decimals"
Volume,CF,GAL,7.48052,water and liquids,"US gallons"
Volume,GAL,CF,0.133681,liquids,"Reciprocal of above"
Weight,LB,TON,0.0005,general,"Short ton of 2000 pounds"
Weight,TON,LB,2000,general,"Exact"
Weight,TON,TONNE,0.907185,general,"Short ton to metric tonne"
Weight,TONNE,TON,1.10231,general,"Metric tonne to short ton"
Mass per area,PSF,KSF,0.001,structural loading,"Kips per square foot"
Pressure,PSI,FT_HEAD,2.30666,water and fluids,"Feet of water column"
Pressure,FT_HEAD,PSI,0.433528,water and fluids,"Reciprocal of above"
Volume per area,CF_SF,IN,12,civil and sitework,"Cubic feet per square foot expressed in inches"
Density,PCF,KG_M3,16.0185,materials,"Pounds per cubic foot to kilograms per cubic metre"
Energy,KWH,BTU,3412.14,mechanical and electrical,"Approximate conversion in common use"
Power,TON_REFRIG,BTU_HR,12000,mechanical,"One ton of refrigeration"
Power,HP,W,745.7,mechanical and electrical,"Mechanical horsepower"
Angle,DEGREE,PERCENT,1.74551,civil and sitework,"Percent slope is not linear in degrees"
Quantity,EA,LS,0,counting to lump sum,"Not convertible; lump sum used where measurement is impractical"
Material,CONCRETE_CY,CONCRETE_TON,2,concrete,"Normal-weight concrete at about 145 to 150 pounds per cubic foot; verify for lightweight mixes"
Material,AGGREGATE_CY,AGGREGATE_TON,1.4,aggregate,"Range roughly 1.35 to 1.5 short tons per cubic yard by gradation and moisture"
Material,ASPHALT_SY_IN,ASPHALT_TON,0.055,asphalt paving,"About 110 pounds per square yard per inch of compacted thickness"
Material,REBAR_3,REBAR_LB_FT,0.376,reinforcing,"Number 3 bar; ASTM standard nominal weights"
Material,REBAR_4,REBAR_LB_FT,0.668,reinforcing,"Number 4 bar"
Material,REBAR_5,REBAR_LB_FT,1.043,reinforcing,"Number 5 bar"
Material,REBAR_6,REBAR_LB_FT,1.502,reinforcing,"Number 6 bar"
Material,REBAR_7,REBAR_LB_FT,2.044,reinforcing,"Number 7 bar"
Material,REBAR_8,REBAR_LB_FT,2.67,reinforcing,"Number 8 bar"
Material,REBAR_9,REBAR_LB_FT,3.4,reinforcing,"Number 9 bar"
Material,REBAR_10,REBAR_LB_FT,4.303,reinforcing,"Number 10 bar"
Material,REBAR_11,REBAR_LB_FT,5.313,reinforcing,"Number 11 bar"
Material,STEEL_PLATE_LB,STEEL_PLATE_SF_IN,40.8,steel,"Pounds per square foot per inch of thickness at 490 pounds per cubic foot"
Material,LUMBER_BF,CF,0.083333,wood,"Board foot equals 144 cubic inches"
Material,DRYWALL_HALF_LB,DRYWALL_SF,1.6,gypsum board,"Nominal weight of half-inch board per square foot; verify by product data"
Material,DRYWALL_FIVE_EIGHTH_LB,DRYWALL_SF,2.2,gypsum board,"Nominal weight of five-eighth inch board per square foot"
Material,CMU_8X8X16,SF_WALL,1.125,masonry,"Blocks per square foot of wall including mortar joints"
Material,BRICK_MODULAR,SF_WALL,6.75,masonry,"Modular brick per square foot of wall with nominal mortar joint"
Material,CONCRETE_WASTE,CY,1.05,concrete,"Planning allowance only; see waste factors dataset"
