series_id,year,period,period_name,value,source_url,licence,fetched_on
WPU1017,2026,M08,August,381.162,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2026,M07,July,374.793,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2026,M06,June,360.148,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2026,M05,May,349.997,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2026,M04,April,341.570,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2026,M03,March,331.357,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2026,M02,February,325.105,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2026,M01,January,315.369,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2025,M12,December,312.410,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2025,M11,November,291.556,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2025,M10,October,300.665,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2025,M09,September,304.579,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2025,M08,August,308.772,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2025,M07,July,305.538,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2025,M06,June,309.231,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2025,M05,May,326.743,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2025,M04,April,303.829,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2025,M03,March,287.362,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2025,M02,February,268.865,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2025,M01,January,261.563,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2024,M12,December,266.511,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2024,M11,November,278.339,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2024,M10,October,273.422,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2024,M09,September,270.970,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2024,M08,August,275.280,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2024,M07,July,283.090,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2024,M06,June,293.269,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2024,M05,May,298.564,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2024,M04,April,297.573,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2024,M03,March,305.677,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2024,M02,February,332.520,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2024,M01,January,321.392,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2023,M12,December,305.125,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2023,M11,November,297.967,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2023,M10,October,304.112,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2023,M09,September,311.522,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2023,M08,August,322.940,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2023,M07,July,329.450,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2023,M06,June,345.801,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2023,M05,May,347.224,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2023,M04,April,329.705,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2023,M03,March,318.190,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2023,M02,February,315.255,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1017,2023,M01,January,308.022,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2026,M08,August,294.899,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2026,M07,July,300.547,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2026,M06,June,282.546,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2026,M05,May,284.485,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2026,M04,April,282.875,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2026,M03,March,268.274,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2026,M02,February,270.326,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2026,M01,January,259.987,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2025,M12,December,250.132,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2025,M11,November,251.402,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2025,M10,October,251.036,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2025,M09,September,252.782,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2025,M08,August,263.714,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2025,M07,July,261.368,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2025,M06,June,266.343,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2025,M05,May,271.479,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2025,M04,April,280.407,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2025,M03,March,287.961,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2025,M02,February,274.907,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2025,M01,January,267.542,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2024,M12,December,272.406,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2024,M11,November,269.326,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2024,M10,October,260.351,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2024,M09,September,256.224,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2024,M08,August,249.891,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2024,M07,July,242.794,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2024,M06,June,247.322,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2024,M05,May,248.930,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2024,M04,April,258.172,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
