metric,formula,inputs,unit,interpretation,caveats
Cost Performance Index (CPI),EV / AC,"Earned value, actual cost",ratio,"Above 1.0 means work cost less than the budget for it","Unreliable before about 15 to 20 percent complete"
Schedule Performance Index (SPI),EV / PV,"Earned value, planned value",ratio,"Above 1.0 means more work is in place than planned","Cost-weighted, so it is not a measure of the critical path"
Cost Variance (CV),EV - AC,"Earned value, actual cost",currency,"Positive is favourable","Same early-project caveat as CPI"
Schedule Variance (SV),EV - PV,"Earned value, planned value",currency,"Positive is ahead of plan","A positive SV with a late critical path is common and misleading"
Estimate At Completion - performance basis,BAC / CPI,"Budget at completion, CPI",currency,"Projects the overrun if the current cost efficiency persists","Assumes the current efficiency continues, which is a judgement"
Estimate At Completion - bottom up,AC + ETC,"Actual cost, estimate to complete",currency,"The most defensible forecast where the cost to complete is maintained","Only as good as the cost to complete behind it"
Estimate At Completion - atypical variance,AC + (BAC - EV),"Actual cost, budget at completion, earned value",currency,"Projects no repeat of past variance","Rarely true in practice; use for one-off disruption only"
Estimate To Complete (ETC),EAC - AC,"Estimate at completion, actual cost",currency,"Remaining cost to finish","Define whether commitments are included to avoid double counting"
Variance At Completion (VAC),BAC - EAC,"Budget at completion, estimate at completion",currency,"Negative means forecast overrun","Restate BAC if the budget was revised without a change order"
To Complete Performance Index (TCPI),(BAC - EV) / (BAC - AC),"BAC, EV, AC",ratio,"The efficiency needed to finish on budget; above 1.0 means harder than achieved so far","Above about 1.1 the recovery is usually not credible"
Percent complete - cost basis,AC / EAC,"Actual cost, estimate at completion",percent,"Cost consumed against forecast final cost","Can look flattering when recorded cost lags field progress"
Percent complete - physical,installed quantity / total quantity,quantity records,percent,"Physical progress by measured quantities","Needs a consistent unit and current quantities to mean anything"
Work in place,EV,"Earned value",currency,"Value of work performed to date under the contract","Commonly disputed with subcontractors; agree the measurement method"
Overbilling / underbilling,billings to date - EV,"Billings, earned value",currency,"Positive is overbilled, negative is underbilled","The core of the work in progress report and a cash-flow signal"
Gross margin at completion,(contract value - EAC) / contract value,"Contract value, EAC",percent,"Forecast margin on the job","Excludes unapproved change orders unless you decide to include them"
Labour productivity index,earned hours / actual hours,"Budgeted hours to date, actual hours",ratio,"Above 1.0 means fewer hours than budgeted for the work installed","Only valid if hours are coded to the same cost codes as the estimate"
Percent of budget consumed,AC / BAC,"Actual cost, budget at completion",percent,"How much of the budget is spent regardless of progress","Read with percent complete; the gap between the two is the warning"
Backlog,remaining revenue on awarded unperformed work,contract values and progress,currency,"Work under contract that has not yet been performed","Depends on a disciplined definition of 'awarded'"
Days Sales Outstanding (DSO),AR / (revenue / 365),"Accounts receivable, revenue",days,"Average collection period","Distorted by retentions and by a few large late payers"
Retention receivable,retention percent x billings to date,"Retention rate, billings",currency,"Cash held back until release milestones","Check the release conditions in the subcontract, not just the rate"
Working capital gap,peak month outflows - peak month inflows,"Cash forecast by month",currency,"The shallowest point in the cash forecast","Driven by billing cycle and pay-when-paid chains, not only by job performance"
Schedule slip against baseline,forecast finish - baseline finish,Schedule data,days,"Negative is ahead, positive is late","Only meaningful against an unedited baseline"
Float consumed,baseline total float - current total float,Schedule data,days,"How much contingency the plan has already used up","A leading indicator, and easy to obscure with logic changes"
Cost to complete (remaining uncommitted),EAC - AC - commitments outstanding,"EAC, AC, commitments",currency,"The portion of the forecast not yet committed or spent","Define consistently with accounting to avoid double counting commitments"
