scope_item,csi_division,trade,pay_unit,measure_basis,notes
Clearing and grubbing,31,Sitework,ACRE,plan area,"Measured in place; strip depth excluded"
Bulk excavation,31,Sitework,CY,bank volume,"Bank measure, not loose; swell allowance applied separately"
Structural fill,31,Sitework,CY,compacted volume,"Compacted in place, tested lifts"
Topsoil strip and stockpile,31,Sitework,CY,loose volume,"Stockpile volume with swell"
Sewer and water mains,33,Utilities,LF,centerline length,"Depth and bedding class priced separately"
Reinforced concrete footings,03,Concrete,CY,net concrete volume,"Formwork and rebar measured separately"
Concrete slab on grade,03,Concrete,SF,plan area,"Thickness and reinforcement stated in the scope description"
Concrete slab on deck,03,Concrete,SF,plan area,"Deck and shear studs excluded unless stated"
Concrete formwork,03,Concrete,SF,contact area,"Contact area of forms, not slab area"
Reinforcing steel,03,Concrete,TON,installed weight,"Includes laps and waste; exclude chairs unless stated"
Masonry walls,04,Masonry,SF,wall face area,"Openings deducted above a stated threshold"
Masonry veneer,04,Masonry,SF,elevation area,"Anchors and flashing listed separately"
Structural steel,05,Steel,TON,erected weight,"Connection design and painting excluded unless stated"
Steel decking,05,Steel,SF,deck area,"Measured after openings and penetrations"
Metal stud framing,09,Drywall,SF,wall face area,"One side for a single-sided measure, both faces for partitions"
Gypsum board,09,Drywall,SF,boarded area,"Board area including joints, excludes finish"
Acoustic ceiling,09,Ceilings,SF,ceiling area,"Grid and tile measured together unless listed separately"
Suspended acoustic grid,09,Ceilings,SF,ceiling area,"Perimeter trim and hangers included"
Flooring,09,Flooring,SF,installed area,"Allowance for waste stated in the scope"
Paint and coatings,09,Paint,SF,substrate area,"Number of coats stated; primer listed separately"
Roofing membrane,07,Roofing,SQ,roof area,"Square equals 100 square feet; upstands and flashings excluded"
Waterproofing,07,Waterproofing,SF,treatment area,"Surface preparation stated separately"
Spray foam insulation,07,Insulation,SF,treated area,"Thickness and board feet stated where priced by volume"
Insulation,07,Insulation,SF,treated area,"R-value stated in the scope description"
Aluminium windows,08,Glazing,EA,count,"Sizes and glazing type specified per type rather than per unit"
Glazed curtain wall,08,Glazing,SF,elevation area,"Frames, glass and sealants measured together"
Doors frames and hardware,08,Doors,EA,count,"Sets priced as a whole with hardware schedule reference"
Fire sprinkler piping,21,Fire Protection,LF,pipe length,"Heads and valves counted separately"
Fire sprinkler heads,21,Fire Protection,EA,count,"Coverage density stated in the scope"
Plumbing fixture rough-in,22,Plumbing,EA,count,"Fixture carrier and venting included per fixture type"
Sanitary drainage,22,Plumbing,LF,pipe length,"Fittings and hangers included; excavation excluded"
Water distribution,22,Plumbing,LF,pipe length,"Insulation and valving listed separately"
Ductwork,23,HVAC,LB,sheet metal weight,"Duct weight basis; insulation listed separately"
HVAC equipment,23,HVAC,EA,count,"Curb, rigging and commissioning connections excluded unless stated"
Refrigerant piping,23,HVAC,LF,pipe length,"Insulation and hangers included"
Electrical feeders,26,Electrical,LF,conduit or cable length,"Terminations priced separately"
Branch wiring devices,26,Electrical,EA,count,"Per device with plate; circuiting excluded"
Lighting fixtures,26,Electrical,EA,count,"Rough-in per fixture excluded unless stated"
Switchgear and panels,26,Electrical,EA,count,"Concrete housekeeping pads and grounding listed separately"
Grounding and bonding,26,Electrical,LS,lump sum,"Used where measurement is impractical"
Site lighting,26,Electrical,EA,count,"Foundations and pole assemblies listed separately"
Elevator equipment,14,Conveying,EA,count,"Hoistway construction and power supply excluded"
Demolition selective,02,Demolition,SF,floor area,"Hazardous material abatement excluded"
Concrete saw cutting,02,Demolition,LF,cut length,"Thickness stated; disposal listed separately"
Testing and inspection,01,General Requirements,LS,lump sum,"Scope by discipline and frequency stated"
Temporary facilities,01,General Requirements,LS,lump sum,"Duration stated in the scope description"
