cost_code,description,csi_division,cost_type,unit,notes
01-010,Mobilization,01,Other,LS,"One-time; scales with duration and site constraints"
01-020,Temporary facilities,01,Other,LS,"Offices, toilets, drying rooms; duration-based"
01-030,Temporary utilities,01,Other,LS,"Power, water, data; metered or allowance"
01-040,Temporary protection,01,Other,SF,"Protect finished surfaces and openings"
01-050,Site security,01,Other,MO,"Guards, fencing, cameras, access control"
01-060,Project supervision,01,Labor,HR,"Foreman and superintendent time"
01-070,Project management,01,Other,HR,"PM, engineer, coordinator time"
01-080,Safety management and training,01,Other,HR,"Separate from physical safety items"
01-090,Submittals and samples,01,Other,EA,"Tracking, review cycles, physical samples"
01-100,Testing and inspection,01,Subcontract,LS,"By discipline; frequency drives cost"
01-110,Survey and layout,01,Subcontract,LS,"Building control, benchmarks, as-builts"
01-120,Final cleaning,01,Subcontract,SF,"Floor area basis"
01-130,Closeout documentation,01,Other,LS,"O&M, warranties, attic stock, training"
02-010,Selective demolition,02,Labor,SF,"Floor area; excludes abatement"
02-020,Structural demolition,02,Subcontract,CY,"Volume of demolished structure"
02-030,Hazardous material abatement,02,Subcontract,SF,"Separately contracted and certified"
02-040,Concrete saw cutting,02,Labor,LF,"Thickness drives rate"
02-050,Shoring and underpinning,02,Subcontract,LS,"Engineered scope"
02-060,Debris removal,02,Other,CY,"Disposal is a variable input; track by weight where possible"
03-010,Excavation for footings,03,Equipment,CY,"Bank measure"
03-020,Backfill and compact,03,Equipment,CY,"Compacted volume"
03-030,Formwork footings,03,Labor,SF,"Contact area"
03-040,Formwork walls,03,Labor,SF,"Contact area; includes hardware"
03-050,Formwork suspended slabs,03,Labor,SF,"Contact area; shoring included"
03-060,Reinforcing steel supply,03,Material,TON,"Fabricated and delivered"
03-070,Reinforcing steel placing,03,Labor,TON,"Installed weight"
03-080,Concrete footings,03,Subcontract,CY,"Supply and place; pump separate"
03-090,Concrete walls,03,Subcontract,CY,"Supply and place"
03-100,Concrete slab on grade,03,Subcontract,SF,"Thickness stated in description"
03-110,Concrete elevated slabs,03,Subcontract,SF,"Includes pump and finishing"
03-120,Concrete pumping,03,Equipment,HR,"Cost scales with volume and reach"
03-130,Concrete finishing,03,Labor,SF,"Flatness and finish class drive cost"
03-140,Curing and protection,03,Material,SF,"Method depends on season"
03-150,Post-tensioning,03,Subcontract,TON,"Specialist trade"
03-160,Granite and stone curbs,03,Material,LF,"Site concrete work item"
04-010,Masonry block walls,04,Subcontract,SF,"Wall face area"
04-020,Brick veneer,04,Subcontract,SF,"Elevation area"
04-030,Stone veneer,04,Subcontract,SF,"Elevation area"
04-040,Masonry reinforcement and anchors,04,Material,LF,"Joint reinforcement and ties"
04-050,Masonry grouting,04,Material,CY,"Cells and bond beams"
04-060,Masonry cleaning and sealing,04,Labor,SF,"Elevation area"
05-010,Structural steel supply,05,Material,TON,"Fabricated; mill orders are long-lead"
05-020,Structural steel erection,05,Subcontract,TON,"Erected weight"
05-030,Metal decking,05,Material,SF,"Deck area"
05-040,Miscellaneous metals,05,Subcontract,TON,"Ladders, bollards, embeds, frames"
05-050,Metal stairs and railings,05,Subcontract,LF,"Horizontal and vertical runs separated"
05-060,Steel painting and fireproofing,05,Subcontract,SF,"Surface area; intumescent is specialist"
06-010,Rough carpentry,06,Labor,SF,"Floor or wall area basis per assembly"
06-020,Wood framing,06,Subcontract,SF,"Framed area"
06-030,Sheathing,06,Material,SF,"Sheet area"
06-040,Finish carpentry,06,Subcontract,LF,"Trim, panelling, millwork installation"
06-050,Architectural millwork,06,Subcontract,LS,"Shop-fabricated casework"
06-060,Wood decking and cladding,06,Material,SF,"Exterior; finish included or separate"
07-010,Below-grade waterproofing,07,Subcontract,SF,"Treatment area"
07-020,Above-grade air barrier,07,Subcontract,SF,"Wall area; detailing overlooked in budgets"
07-030,Roof insulation,07,Material,SF,"R-value drives thickness and cost"
07-040,Roof membrane,07,Subcontract,SQ,"One square equals 100 square feet"
07-050,Flashing and sheet metal,07,Material,LF,"Coping, edging, penetrations"
07-060,Joint sealants,07,Material,LF,"Joint length; movement class stated"
07-070,Firestopping,07,Subcontract,EA,"Counted by penetration type"
07-080,Spray foam insulation,07,Subcontract,SF,"Thickness and density stated"
07-090,Batt insulation,07,Material,SF,"R-value stated"
08-010,Steel door frames,08,Material,EA,"Count by type"
08-020,Hollow metal doors,08,Material,EA,"Gauge and hardware prep"
08-030,Wood doors,08,Material,EA,"Interior; fire rating stated"
08-040,Door hardware sets,08,Material,EA,"Per set; keying and cylinders noted"
08-050,Glazed aluminium storefront,08,Subcontract,SF,"Elevation area"
08-060,Curtain wall,08,Subcontract,SF,"Elevation area; engineering included"
08-070,Glazing replacement and repair,08,Labor,EA,"Per unit"
08-080,Automatic door operators,08,Subcontract,EA,"Includes controls and safety sensors"
09-010,Metal stud framing,09,Labor,SF,"Wall face area"
09-020,Gypsum board hanging,09,Labor,SF,"Board area"
09-030,Gypsum board finishing,09,Labor,SF,"Level of finish drives cost materially"
09-040,Acoustic ceiling grid,09,Subcontract,SF,"Ceiling area"
09-050,Acoustic ceiling tile,09,Material,SF,"Ceiling area"
09-060,Resilient flooring,09,Subcontract,SF,"Installed area"
09-070,Tile and stone flooring,09,Subcontract,SF,"Pattern and format drive waste"
09-080,Carpet,09,Subcontract,SY,"Sold by the square yard in many markets"
