material,planning_low_percent,planning_high_percent,basis,drivers,notes
Gypsum board,10,15,boarded area,"Cut pattern, layout, damage, level of finish","Higher for small rooms and heavy penetrations"
Metal studs and track,5,10,framed area,"Opening count, layout, cutting losses","Track waste is usually lower than stud waste"
Wood framing lumber,5,10,framed area,"Cut patterns, species lengths available, reuse","Reusing offcuts lowers the top of the range"
Concrete,3,8,ordered volume,"Over-pour, pump losses, washout, returned loads","An over-order is not the same as waste; track both"
Reinforcing steel,3,5,installed weight,"Cut lengths, laps, chairs, rolling margin","Laps belong in the takeoff, not in the waste factor"
Masonry block,5,10,wall face area,"Openings, coursing adjustments, breakage","Breakage rises with handling and site storage"
Brick,5,8,elevation area,"Bond pattern, cuts at openings, breakage","Sold by the thousand in many markets"
Roof membrane,5,10,roof area,"Perimeter details, penetrations, sheet width","Fleece-backed and single-ply differ in offcut reuse"
Rigid insulation,5,10,treated area,"Board size, penetrations, taping","Cut boards are rarely reusable"
Spray polyurethane foam,5,10,treated area,"Substrate profile, thickness tolerance, overspray","Yield is expressed in board feet; check the manufacturer data"
Batt insulation,5,10,treated area,"Cavity irregularity, compression, offcuts","Compression reduces R-value rather than saving material"
Ceramic and porcelain tile,10,15,installed area,"Format size, pattern, cuts, level of finish","Diagonal or herringbone layouts sit at the top of the range"
Resilient flooring,5,10,installed area,"Room geometry, seams, adhesive coverage","Sheet goods reuse offcuts better than tile formats"
Carpet,5,10,installed area,"Pattern matching, roll width, seam layout","Patterned carpet can exceed the range materially"
Paint and coatings,5,10,substrate area,"Texture, application method, touch-up","Touch-up often consumes more than the application"
Sheet metal ductwork,5,15,sheet metal weight,"Nesting efficiency, gauge changes, fittings","Fabrication nesting dominates; site waste is small"
Pipe and fittings,3,8,pipe length,"Cut lengths, spooling, threading losses","Small-diameter work wastes more proportionally"
Electrical conduit,5,10,conduit length,"Bends, offsets, terminations","Bend losses are avoidable with planning"
Wire and cable,5,10,cable length,"Pull lengths, terminations, slack at devices","Slack required by specification is not waste"
Structural steel,2,5,fabricated weight,"Mill lengths, connections, rolling margin","Connection material is often already in the weight"
Asphalt concrete,3,8,placed tonnage,"Yield, truck spillage, joints","Yield varies with the surface being paved"
Aggregate base course,5,10,placed tonnage,"Compaction, subgrade loss, haulage spillage","Compaction is a volume change, not a loss"
Precast concrete,1,3,erected units,"Handling, cracks, dimensional tolerance","Shop-fabricated units have low site waste"
Glass and glazing,2,5,glazed area,"Breakage, size tolerance, remakes","Breakage rises with handling on site"
